PT,Signal category,a (n cases),ROR,ROR 95% CI lower,ROR 95% CI upper,IC,IC025,Label-listed (Y/N)
Disease progression,Administrative/case-context,86,44.123,34.776,55.983,4.868,3.197,N
Off label use,Administrative/case-context,66,2.559,1.967,3.328,1.194,0.565,N
Stomatitis,Clinical AE,64,59.115,45.234,77.257,5.171,3.029,Y
No adverse event,Administrative/case-context,42,10.231,7.434,14.079,3.08,1.746,N
Death,Clinical AE,25,1.643,1.096,2.462,0.665,-0.236,N
Nausea,Clinical AE,23,1.498,0.984,2.282,0.542,-0.372,Y
Fatigue,Clinical AE,17,1.01,0.622,1.641,0.013,-0.945,Y
Interstitial lung disease,Clinical AE,16,15.2,9.214,25.073,3.371,1.026,Y
Infusion related reaction,Clinical AE,14,7.338,4.305,12.508,2.555,0.608,Y
Dry eye,Clinical AE,13,7.627,4.388,13.256,2.582,0.548,Y
Weight decreased,Clinical AE,13,2.346,1.35,4.077,1.136,-0.24,N
Alopecia,Clinical AE,11,3.283,1.803,5.977,1.555,-0.1,Y
Dyspnoea,Clinical AE,10,0.917,0.49,1.718,-0.116,-1.326,N
Cough,Clinical AE,10,1.522,0.813,2.851,0.559,-0.813,N
Rash,Clinical AE,10,0.994,0.531,1.862,-0.008,-1.24,Y
