country_type,country,n,pct
reporter,US,259,62.3
reporter,JP,117,28.1
reporter,CA,11,2.6
reporter,EU,8,1.9
reporter,AT,7,1.7
reporter,CH,4,1.0
reporter,ES,3,0.7
reporter,AU,2,0.5
reporter,RU,1,0.2
reporter,UY,1,0.2
reporter,SG,1,0.2
reporter,AE,1,0.2
reporter,DE,1,0.2
occurrence,US,190,45.7
occurrence,Unknown/missing,100,24.0
occurrence,JP,93,22.4
occurrence,CA,11,2.6
occurrence,AT,7,1.7
occurrence,EU,4,1.0
occurrence,ES,3,0.7
occurrence,CH,2,0.5
occurrence,RU,1,0.2
occurrence,AU,1,0.2
occurrence,UY,1,0.2
occurrence,SG,1,0.2
occurrence,AE,1,0.2
occurrence,DE,1,0.2
