pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
No adverse event,active_breast_comparator_class_exclusion,9,187,1,3090,196,3091,148.71657754010695,18.74177614115107,1180.0706757286184,141.93367346938774,111.74542795926017,3.1153001245158656,0.26307841149572964,0.5962884088834803,12.673325777992089,7.2730510114630675,True,True,True,True,True
Prescribed underdose,active_breast_comparator_class_exclusion,9,187,1,3090,196,3091,148.71657754010695,18.74177614115107,1180.0706757286184,141.93367346938774,111.74542795926017,3.1153001245158656,0.26307841149572964,0.5962884088834803,12.673325777992089,7.2730510114630675,True,True,True,True,True
Stomatitis,active_breast_comparator_class_exclusion,41,155,21,3070,196,3091,38.66973886328725,22.307117240354827,67.03460100391897,30.789844509232264,397.09036614544993,3.305685046628924,1.857308513535854,3.696988135077578,10.784494212005733,8.304186794331102,True,True,True,True,True
Disease progression,active_breast_comparator_class_exclusion,78,118,75,3016,196,3091,26.581694915254236,18.425766763660704,38.34773953403028,16.40122448979592,571.5720669896313,3.0281021387831184,2.062316148523193,9.12321265591725,8.468264770731043,7.010210811136421,True,True,True,True,True
Dry eye,active_breast_comparator_class_exclusion,9,187,14,3077,196,3091,10.577922077922079,4.519736177189535,24.75640858227446,10.138119533527696,39.679557877987605,2.3437607254755233,0.08231419721912347,1.371463340432005,6.290020508928719,3.6097580718733426,True,True,True,True,True
Carcinoembryonic antigen increased,active_breast_comparator_class_exclusion,4,192,0,3091,196,3091,144.53766233766234,7.753304478593886,2694.481545477088,141.25888324873094,48.71217644396036,2.6072251622160683,-0.9429411379108683,0.23851536355339215,11.537384867395327,5.124461998101128,True,True,False,True,False
Underdose,active_breast_comparator_class_exclusion,4,192,0,3091,196,3091,144.53766233766234,7.753304478593886,2694.481545477088,141.25888324873094,48.71217644396036,2.6072251622160683,-0.9429411379108683,0.23851536355339215,11.537384867395327,5.124461998101128,True,True,False,True,False
Tumour marker increased,active_breast_comparator_class_exclusion,3,193,0,3091,196,3091,111.83720930232558,5.756015030582525,2172.95495548183,109.86802030456853,33.87184310716159,2.366112571886059,-1.383861661382765,0.17888652266504412,10.643509641270501,4.241016443028315,True,True,False,True,False
Malignant pleural effusion,active_breast_comparator_class_exclusion,2,194,0,3091,196,3091,79.47300771208226,3.802061662584328,1661.1931934085517,78.47715736040608,19.633054155987796,2.013316329827662,-2.0004356362237874,0.11925768177669607,9.383841867110723,3.1702310668311005,False,False,False,False,False
Lung opacity,active_breast_comparator_class_exclusion,2,194,0,3091,196,3091,79.47300771208226,3.802061662584328,1661.1931934085517,78.47715736040608,19.633054155987796,2.013316329827662,-2.0004356362237874,0.11925768177669607,9.383841867110723,3.1702310668311005,False,False,False,False,False
Vascular pain,active_breast_comparator_class_exclusion,1,195,0,3091,196,3091,47.43989769820972,1.9261724541272878,1168.402075730173,47.08629441624365,6.8837580673413905,1.4224202808284916,-3.006821817185477,0.059628840888348036,7.482259880417348,1.885083330368384,False,False,False,False,False
Skin burning sensation,active_breast_comparator_class_exclusion,1,195,0,3091,196,3091,47.43989769820972,1.9261724541272878,1168.402075730173,47.08629441624365,6.8837580673413905,1.4224202808284916,-3.006821817185477,0.059628840888348036,7.482259880417348,1.885083330368384,False,False,False,False,False
