pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
Disease progression,full_faers_excluding_all_dato,78,118,10626,1799093,196,1809719,111.91708696609213,84.02410067488614,149.06954379006558,67.77661358162689,5058.164774809562,5.56416632356467,3.345826790552635,1.1591616180870372,66.84131584798055,55.25606531200803,True,True,True,True,True
Stomatitis,full_faers_excluding_all_dato,41,155,5549,1804170,196,1809719,86.00325545433935,60.89588714540023,121.46238925928917,68.22196222154388,2637.606285916121,5.230530435417542,2.505396312399521,0.6053543950959023,66.87048964335527,51.30221336004466,True,True,True,True,True
Prescribed underdose,full_faers_excluding_all_dato,9,187,2072,1807647,196,1809719,41.9879601717837,21.480086415738793,82.07549845309399,40.10585995981404,304.2112571406898,3.711165500135896,0.2666170317826069,0.22535643939080013,37.79419392760266,20.906504211944924,True,True,True,True,True
Interstitial lung disease,full_faers_excluding_all_dato,8,188,4750,1804969,196,1809719,16.16993505039194,7.9647526945787135,32.82798720315115,15.550754027926958,94.94432191296987,3.0656205152117306,0.09639100207650353,0.5152551362909308,14.64143008559863,7.784404490586474,True,True,True,True,True
Dry eye,full_faers_excluding_all_dato,9,187,7622,1802097,196,1809719,11.379157855742664,5.8271886402906246,22.220875536895612,10.90256387257081,71.56543498215854,2.8404342913271257,0.21937658767502377,0.826379139351848,10.344292012991241,5.722121893999272,True,True,True,True,True
Infusion related reaction,full_faers_excluding_all_dato,8,188,8548,1801171,196,1809719,8.966492099682394,4.417705907810969,18.19903412572456,8.641329156838214,46.862240990531035,2.574932942869687,0.016483324476174843,0.926549589345356,8.15006196745259,4.3331408617249165,True,True,True,True,True
Infectious iridocyclitis,full_faers_excluding_all_dato,1,195,4,1809715,196,1809719,2320.147435897436,258.1519699166114,20852.384454165902,2308.3150510204077,460.76472172621413,1.5834010172799935,-3.0323112734258606,0.0005414618918567999,365.56029157967237,36.78833949960446,False,False,False,False,False
Procedural shock,full_faers_excluding_all_dato,1,195,4,1809715,196,1809719,2320.147435897436,258.1519699166114,20852.384454165902,2308.3150510204077,460.76472172621413,1.5834010172799935,-3.0323112734258606,0.0005414618918567999,365.56029157967237,36.78833949960446,False,False,False,False,False
Breast haemorrhage,full_faers_excluding_all_dato,1,195,15,1809704,196,1809719,618.7022222222222,81.32748710692115,4706.8027477531605,615.5506802721088,143.3038337763438,1.5799716911298585,-3.0316303893514798,0.0017326780539417598,213.6827418486007,21.504067682962173,False,False,False,False,False
Corneal epitheliopathy,full_faers_excluding_all_dato,1,195,19,1809700,196,1809719,488.4480431848853,65.06732947374286,3666.6863819487185,485.9610633727175,114.44407631767032,1.5787266817353751,-3.0313847067508153,0.0021658475674271997,185.6370290466512,18.68167359960026,False,False,False,False,False
