pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Prescribed underdose,expanded_chemo,9,173,0,2129,182,2129,233.20172910662825,13.515403118174875,4023.782789370853,221.14754098360658,92.88887486361187,2.974370952957188,0.2437304766234245,0.7087840761575076,10.466049828123639,6.04484180781128,True,True,True,True,True,True
Stomatitis,expanded_chemo,40,142,12,2117,182,2129,49.694835680751176,25.502760761084655,96.83566091029854,38.99267399267399,339.90502084704474,3.139723326755076,1.7477972198941534,4.095196884465599,9.43987212458909,7.2503147189721435,True,True,True,True,True,True
Disease progression,expanded_chemo,78,104,65,2064,182,2129,23.815384615384616,16.227821421738142,34.95062766829173,14.037362637362635,450.7903683783848,2.7385848409697977,1.8544652393172432,11.261791432280399,6.861135098850545,5.681303162921362,True,True,True,True,True,True
Carcinoembryonic antigen increased,expanded_chemo,4,178,0,2129,182,2129,107.36974789915966,5.7574464367329865,2002.3221910286184,104.75409836065573,35.74034445357259,2.4650262279625506,-0.9390068145818375,0.31501514495889227,8.881635982721322,4.020797738703118,True,True,False,True,False,False
Underdose,expanded_chemo,4,178,0,2129,182,2129,107.36974789915966,5.7574464367329865,2002.3221910286184,104.75409836065573,35.74034445357259,2.4650262279625506,-0.9390068145818375,0.31501514495889227,8.881635982721322,4.020797738703118,True,True,False,True,False,False
Tumour marker increased,expanded_chemo,3,179,0,2129,182,2129,83.04456824512535,4.272601781223694,1614.0985441999499,81.47540983606558,24.75280987910438,2.2490650305602267,-1.3764687612102855,0.2362613587191692,8.251043813893535,3.378348423961719,True,True,False,True,False,False
Keratitis,expanded_chemo,3,179,0,2129,182,2129,83.04456824512535,4.272601781223694,1614.0985441999499,81.47540983606558,24.75280987910438,2.2490650305602267,-1.3764687612102855,0.2362613587191692,8.251043813893535,3.378348423961719,True,True,False,True,False,False
Catheter site infection,expanded_chemo,2,180,0,2129,182,2129,58.988919667590025,2.821112638555179,1233.446901762668,58.19672131147541,14.232891147181151,1.926848679832699,-1.9922159621517455,0.15750757247944613,7.372249695834507,2.600305669042694,False,False,False,False,False,False
Malignant pleural effusion,expanded_chemo,2,180,0,2129,182,2129,58.988919667590025,2.821112638555179,1233.446901762668,58.19672131147541,14.232891147181151,1.926848679832699,-1.9922159621517455,0.15750757247944613,7.372249695834507,2.600305669042694,False,False,False,False,False,False
Lung opacity,expanded_chemo,2,180,0,2129,182,2129,58.988919667590025,2.821112638555179,1233.446901762668,58.19672131147541,14.232891147181151,1.926848679832699,-1.9922159621517455,0.15750757247944613,7.372249695834507,2.600305669042694,False,False,False,False,False,False
No adverse event,expanded_chemo,4,178,1,2128,182,2129,47.82022471910113,5.3162716672222645,430.1461692194077,46.791208791208796,26.65575562403192,2.331951201053823,-0.9426460671879675,0.39376893119861534,7.772641259213264,3.5187456972560605,True,True,False,True,False,False
Vascular pain,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Skin burning sensation,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Rectal prolapse,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Completed suicide,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Cardiac failure congestive,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Amylase increased,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
