pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Disease progression,full_faers_excluding_all_dato,78,104,10626,1799093,182,1809719,126.98284867306606,94.61844379214364,170.41755508629137,72.99019924175202,5458.991285442013,5.638012092224336,3.363341423774008,1.07637268557783,71.98737249590535,59.510466931693614,True,True,True,True,True,True
Stomatitis,full_faers_excluding_all_dato,40,142,5549,1804170,182,1809719,91.58711504927928,64.42201813406078,130.20702992561118,71.67785899449262,2706.34429553866,5.253040989057258,2.4734214471735863,0.5620185855469443,70.26020302724986,53.719941320927525,True,True,True,True,True,True
Prescribed underdose,full_faers_excluding_all_dato,9,173,2072,1807647,182,1809719,45.385829781061,23.189608988052587,88.82743758106065,43.19092611056897,328.88277487018877,3.74353864291052,0.262868461484707,0.20926116953358223,40.72340703942381,22.529946711083767,True,True,True,True,True,True
Dry eye,full_faers_excluding_all_dato,8,174,7622,1802097,182,1809719,10.870510952867832,5.349381010735451,22.090033994451517,10.436642339554963,59.336416067289036,2.745753212291007,0.053133377237048585,0.7672574356276946,9.84589212984805,5.2356330441368355,True,True,True,True,True,True
Infusion related reaction,full_faers_excluding_all_dato,8,174,8548,1801171,182,1809719,9.687933992760287,4.767618163475755,19.686153930510255,9.30604678428731,51.4874600933246,2.6434593642947415,0.032268233772478006,0.8603741309607542,8.781566178768097,4.669669082139563,True,True,True,True,True,True
Infectious iridocyclitis,full_faers_excluding_all_dato,1,181,4,1809715,182,1809719,2499.6063535911603,278.0230497492838,22473.071669948466,2485.877747252747,496.27732775818475,1.5835124845706838,-3.0323335074970537,0.0005027899316039938,401.4955996254952,40.66067135356999,False,False,False,False,False,False
Procedural shock,full_faers_excluding_all_dato,1,181,4,1809715,182,1809719,2499.6063535911603,278.0230497492838,22473.071669948466,2485.877747252747,496.27732775818475,1.5835124845706838,-3.0323335074970537,0.0005027899316039938,401.4955996254952,40.66067135356999,False,False,False,False,False,False
Breast haemorrhage,full_faers_excluding_all_dato,1,181,15,1809704,182,1809719,666.5576427255985,87.58512151739656,5072.76902033706,662.9007326007327,154.40148424581827,1.5803275697354244,-3.031700764137537,0.0016089277811327802,233.3336919596889,23.630407340298994,False,False,False,False,False,False
Corneal epitheliopathy,full_faers_excluding_all_dato,1,181,19,1809700,182,1809719,526.2285548124455,70.07367393138918,3951.7906849172873,523.3426836321574,123.32216216398648,1.5791711599125429,-3.031472325043096,0.0020111597264159753,202.49299735661222,20.507077100213607,False,False,False,False,False,False
Laryngopharyngitis,full_faers_excluding_all_dato,1,181,22,1809697,182,1809719,454.46936212958315,60.93399039879795,3389.6089811729234,451.9777722277723,107.10695500870388,1.5783044604400527,-3.0313015708164563,0.0023128336853783715,184.23014319512401,18.65754272989644,False,False,False,False,False,False
Urinary bladder rupture,full_faers_excluding_all_dato,1,181,26,1809693,182,1809719,384.55014874628137,51.90581797051163,2848.983460482197,382.4427303465765,91.09203932068391,1.5771496704802408,-3.0310746635250547,0.0027150656306615664,164.45399098072497,16.65475209762573,False,False,False,False,False,False
Corneal erosion,full_faers_excluding_all_dato,1,181,34,1809685,182,1809719,294.06646083847903,40.039293100756375,2159.755497492418,292.4562055591467,70.04413875969837,1.5748428598848627,-3.030623463538222,0.0035195295212279566,135.38766167355934,13.71111718726631,False,False,False,False,False,False
Fungal pharyngitis,full_faers_excluding_all_dato,1,181,42,1809677,182,1809719,238.05274927650618,32.58825151247521,1738.9429873649224,236.75026164311882,56.82831289180929,1.5725397318980898,-3.030175734993115,0.004323993411794347,115.05273068297127,11.651737341566676,False,False,False,False,False,False
Carcinoembryonic antigen increased,full_faers_excluding_all_dato,4,178,202,1809517,182,1809719,201.30348203359662,74.01833050324544,547.4737352671549,196.9012077031879,584.5064962039485,3.11135928182226,-1.0277521113181836,0.020714945182084544,164.186856939098,64.4050493838032,True,True,False,True,False,False
Malignant ascites,full_faers_excluding_all_dato,1,181,66,1809653,182,1809719,151.4861041352754,20.912230619013414,1097.3501662333008,150.65925740925744,36.11809054156578,1.565652326477796,-3.028853203275185,0.006737385083493517,79.31424964597588,8.032393484556742,False,False,False,False,False,False
Malignant pleural effusion,full_faers_excluding_all_dato,2,180,135,1809584,182,1809719,148.9369547325103,36.5888026727541,606.2569656457174,147.31127391127393,160.36430063837392,2.282715443408554,-2.0486919020111642,0.01377644412594943,106.98648085056864,25.612694071807894,False,False,False,False,False,False
Incorrect product formulation administered,full_faers_excluding_all_dato,1,181,73,1809646,182,1809719,136.95950957390448,18.933549439274067,990.7232303634898,136.2124793015204,32.608374331179576,1.5636496779419198,-3.028473252965623,0.007441290987739108,72.72536551485885,7.365117298984588,False,False,False,False,False,False
Rectal prolapse,full_faers_excluding_all_dato,1,181,82,1809637,182,1809719,121.92676189192831,16.880020210624142,880.6941626820072,121.26232913428036,28.96593363243974,1.561078922177209,-3.02798855421776,0.008346312864626297,65.70728067618981,6.654374662146796,False,False,False,False,False,False
Angular cheilitis,full_faers_excluding_all_dato,1,181,88,1809631,182,1809719,113.61319688598694,15.741770162131157,819.9813854293076,112.99444305694307,26.94700398695116,1.5593676264014837,-3.027667791256719,0.00894966078255109,61.73557601298264,6.252148141670001,False,False,False,False,False,False
Vascular pain,full_faers_excluding_all_dato,1,181,99,1809620,182,1809719,100.98889446955745,14.009785103069298,727.9738219502764,100.43950493950496,23.875053101632012,1.5562355132177712,-3.0270846224633754,0.010055798632079876,55.57674874016028,5.628425112333642,False,False,False,False,False,False
Keratitis,full_faers_excluding_all_dato,3,179,309,1809410,182,1809719,98.14015295330043,31.184181765453822,308.8581798983441,96.5389416408834,194.29335586247703,2.7195551290503692,-1.4436034173353374,0.031374091732089215,79.45796304039439,26.170427524643557,True,True,False,True,False,False
