pt,drug_dropped,a_dato_cases,ror,ror_ci_lower,ror_ci_upper,ic025,comparator_n,consensus_signal
Disease progression,capecitabine,78,33.525,16.78077155862227,66.97699334465378,0.9746518368408921,457,True
Stomatitis,capecitabine,40,31.901408450704224,11.219738836353685,90.70619877899108,0.7353138431425735,457,True
Off label use,capecitabine,19,13.200920245398773,4.425094388847364,39.380921628379326,0.22500229376642933,457,True
Prescribed underdose,capecitabine,9,50.10086455331412,2.9002797485199885,865.4670744332259,-0.22509383264749827,457,False
Stomatitis,eribulin,40,25.91549295774648,10.774286762993816,62.33477816367201,0.8424646581771821,558,True
Disease progression,eribulin,78,7.455882352941177,4.942122482613253,11.248240377787068,0.6928429157024804,558,True
Off label use,eribulin,19,5.796430563301729,2.7029450581034298,12.430370041910313,0.11379374302523315,558,True
Prescribed underdose,eribulin,9,61.16138328530259,3.5415037381354426,1056.2504184567458,-0.13859436119086066,558,False
Prescribed underdose,gemcitabine,9,95.54755043227665,5.535013121290746,1649.378997583932,0.03359091781845791,872,True
Stomatitis,gemcitabine,40,24.281690140845072,11.87438311456727,49.6531458019661,1.1128608311649908,872,True
Disease progression,gemcitabine,78,15.201219512195122,9.893017321442782,23.357593254900088,1.2049126295997907,872,True
Off label use,gemcitabine,19,14.404031551270815,5.9589785986864685,34.81739722571565,0.547847457553122,872,True
Prescribed underdose,vinorelbine,9,102.22766570605188,5.922287335093348,1764.6046273004054,0.05629023932668353,933,True
Stomatitis,vinorelbine,40,26.0,12.717299893052516,53.155937634945616,1.1666718257302704,933,True
Disease progression,vinorelbine,78,12.970588235294118,8.631445373305292,19.491076163194954,1.176979957610746,933,True
Off label use,vinorelbine,19,9.7702175125488,4.5645172458016505,20.91286878811002,0.4779261367917853,933,True
