pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Stomatitis,trastuzumab_deruxtecan_alone,40,142,4,1626,182,1630,114.50704225352112,40.3903994270877,324.62820154376175,89.56043956043955,317.2590583756249,3.0413599973182057,1.6912576217259105,4.419426048565121,8.622466895475762,6.62845040605744,True,True,True,True,True,True
Prescribed underdose,trastuzumab_deruxtecan_alone,9,173,1,1629,182,1630,84.74566473988439,10.672783968055148,672.9104340255467,80.60439560439559,62.52761542210265,2.6587249066846113,0.17748670575174197,1.0044150110375276,7.481511060395585,4.3545447050765,True,True,True,True,True,True
Disease progression,trastuzumab_deruxtecan_alone,78,104,149,1481,182,1630,7.454697986577181,5.314123668088748,10.45751388978586,4.688398849472675,166.7752541760048,1.7523490307033438,1.085250285123395,22.800220750551876,3.4189764171742816,2.831992069853561,True,True,True,True,True,True
Off label use,trastuzumab_deruxtecan_alone,19,163,32,1598,182,1630,5.820935582822086,3.226398348833754,10.501893255559128,5.3176510989010985,39.96086678539461,1.7941862146342886,0.4406200062912473,5.122516556291391,3.682084183639201,2.5192171201164095,True,True,True,True,True,True
Osteonecrosis of jaw,trastuzumab_deruxtecan_alone,3,179,0,1630,182,1630,63.58495821727019,3.2711101769330506,1235.9861615186267,62.387978142076506,18.62239267484757,2.1268964241080885,-1.3749208496950893,0.30132450331125826,6.36326400415605,2.6874803806770213,True,True,False,True,False,False
Carcinoembryonic antigen increased,trastuzumab_deruxtecan_alone,4,178,1,1629,182,1630,36.60674157303371,4.069133731839323,329.3215747886335,35.824175824175825,19.947596126750533,2.166743754197632,-0.9565584701130891,0.5022075055187638,6.036450438940979,2.793969031925394,True,True,False,True,False,False
Throat tightness,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Wheezing,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Anaphylactic reaction,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Vascular pain,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Skin burning sensation,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Rectal prolapse,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Completed suicide,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Pneumonia aspiration,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Amylase increased,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Incorrect product formulation administered,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Aphthous ulcer,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Erythema multiforme,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Sialoadenitis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Wound infection,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Angular cheilitis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Injection site reaction,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Ocular discomfort,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Eye irritation,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Ulcerative keratitis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Performance status decreased,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Fungal pharyngitis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Malignant ascites,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Corneal epitheliopathy,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Infectious iridocyclitis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Intraocular pressure increased,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Breast pain,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Leukoencephalopathy,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Procedural shock,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Therapy non-responder,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Urinary bladder rupture,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Abnormal sensation in eye,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Laryngopharyngitis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Oral candidiasis,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Compression fracture,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Corneal erosion,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Paraesthesia oral,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Incorrect drug administration rate,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Respiratory syncytial virus test positive,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Feeling hot,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Duodenal perforation,trastuzumab_deruxtecan_alone,1,181,0,1630,182,1630,26.950413223140497,1.0938018946764263,664.036857527012,26.73770491803279,3.51626150912412,1.320866899517052,-2.997354696850216,0.10044150110375276,4.797992185306428,1.4309209321083576,False,False,False,False,False,False
Dry eye,trastuzumab_deruxtecan_alone,8,174,3,1627,182,1630,24.93486590038314,6.55457663426984,94.85700940917461,23.882783882783883,41.40089941227551,2.40501852737698,-0.02868750459882552,1.1048565121412803,6.282120492240474,3.548518243622678,True,True,False,True,False,False
