pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Prescribed underdose,trial_aligned_chemo,9,173,0,940,182,940,102.99423631123919,5.966728639527517,1777.8272407198629,97.69945355191258,40.228168927301795,2.27715258519741,0.0587370202386861,1.4598930481283423,5.146450567955125,3.0892713868072716,True,True,True,True,True,True
Stomatitis,trial_aligned_chemo,40,142,10,930,182,940,26.197183098591548,12.81402812461851,53.55789730027323,20.65934065934066,151.76892806564265,2.2337501501872192,1.1726026901835573,8.110516934046347,4.782034529238518,3.6904660568402075,True,True,True,True,True,True
Disease progression,trial_aligned_chemo,78,104,51,889,182,940,13.073529411764707,8.700315238600618,19.64494005021451,7.899159663865546,206.29440199064496,1.8733884474229976,1.1841470081474013,20.925133689839573,3.7080918018189095,3.075941077821969,True,True,True,True,True,True
Off label use,trial_aligned_chemo,19,163,11,929,182,940,9.844394868934746,4.599266800997378,21.071208635796634,8.921078921078921,46.84489346607332,1.8614717773872678,0.48305327916249063,4.866310160427807,3.805805307883016,2.633408378712972,True,True,True,True,True,True
Infusion related reaction,trial_aligned_chemo,8,174,0,940,182,940,91.62464183381088,5.264097210396637,1594.7796280421612,87.4153005464481,35.09068301304776,2.241324433246171,-0.07999218197810087,1.2976827094474153,5.066042523989659,2.9659568846895406,True,True,False,True,False,False
Carcinoembryonic antigen increased,trial_aligned_chemo,4,178,0,940,182,940,47.42016806722689,2.5418025268531212,884.6762546530374,46.278688524590166,14.960088035839947,1.969745413689454,-0.9860475582939017,0.6488413547237076,4.5590227811001816,2.2869095728789874,True,True,False,True,False,False
No adverse event,trial_aligned_chemo,4,178,0,940,182,940,47.42016806722689,2.5418025268531212,884.6762546530374,46.278688524590166,14.960088035839947,1.969745413689454,-0.9860475582939017,0.6488413547237076,4.5590227811001816,2.2869095728789874,True,True,False,True,False,False
Underdose,trial_aligned_chemo,4,178,0,940,182,940,47.42016806722689,2.5418025268531212,884.6762546530374,46.278688524590166,14.960088035839947,1.969745413689454,-0.9860475582939017,0.6488413547237076,4.5590227811001816,2.2869095728789874,True,True,False,True,False,False
Dry eye,trial_aligned_chemo,8,174,1,939,182,940,43.172413793103445,5.365680640693811,347.3664270264772,41.31868131868132,30.06982584714706,2.116687913004164,-0.12393402160813505,1.4598930481283423,4.694584875522299,2.7484839036347526,True,True,False,True,False,False
Tumour marker increased,trial_aligned_chemo,3,179,0,940,182,940,36.67688022284123,1.8862822480475119,713.1454183344248,35.994535519125684,10.154427374336434,1.8267723758848446,-1.3963692079308698,0.48663101604278075,4.34975673091179,2.046208112475853,True,True,False,True,False,False
Keratitis,trial_aligned_chemo,3,179,0,940,182,940,36.67688022284123,1.8862822480475119,713.1454183344248,35.994535519125684,10.154427374336434,1.8267723758848446,-1.3963692079308698,0.48663101604278075,4.34975673091179,2.046208112475853,True,True,False,True,False,False
Lacrimation increased,trial_aligned_chemo,2,180,0,940,182,940,26.05263157894737,1.2454855617091654,544.9598398049187,25.7103825136612,5.602546741502242,1.6004755000924806,-1.9907622327153862,0.3244206773618538,4.077940162729646,1.7611783050014072,False,False,False,False,False,False
