pt_japanese,pt_english,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
角膜上皮症,Corneal epitheliopathy,active_breast_comparator,3,47,0,4541,50,4541,669.2736842105263,34.09648503486698,13137.051045545666,623.4117647058824,199.05851824419872,2.7160338894321803,-1.4427167844921853,0.0326726203441516,53.74954076168567,19.334280990966572,True,True,False,True,False,False
眼圧上昇,Intraocular pressure increased,active_breast_comparator,1,49,0,4541,50,4541,275.24242424242425,11.075695916870771,6840.057064716773,267.1764705882353,43.55399140991136,1.553875431937541,-3.0266485369040352,0.010890873448050533,30.272701371999663,5.143137392994654,False,False,False,False,False,False
感染性虹彩毛様体炎,Infectious iridocyclitis,active_breast_comparator,1,49,0,4541,50,4541,275.24242424242425,11.075695916870771,6840.057064716773,267.1764705882353,43.55399140991136,1.553875431937541,-3.0266485369040352,0.010890873448050533,30.272701371999663,5.143137392994654,False,False,False,False,False,False
咽喉頭炎,Pharyngolaryngitis,active_breast_comparator,1,49,0,4541,50,4541,275.24242424242425,11.075695916870771,6840.057064716773,267.1764705882353,43.55399140991136,1.553875431937541,-3.0266485369040352,0.010890873448050533,30.272701371999663,5.143137392994654,False,False,False,False,False,False
アフタ性潰瘍,Aphthous ulcer,active_breast_comparator,2,48,1,4540,50,4541,189.16666666666666,16.866692642124132,2121.5794072400467,181.64000000000001,66.66682168802234,2.2306070622619387,-2.0365947615667706,0.0326726203441516,36.040571710353746,10.224484809960039,False,False,False,False,False,False
炎症,Inflammation,active_breast_comparator,1,49,1,4540,50,4541,92.65306122448979,5.713005889423639,1502.6397522469767,90.82000000000001,10.619513370444505,1.5234441193011337,-3.0212815704096023,0.021781746896101066,22.980750374404067,3.904281785668281,False,False,False,False,False,False
疾患進行,Disease progression,active_breast_comparator,5,45,8,4533,50,4541,62.958333333333336,19.829390853540772,199.89276349370732,56.7625,136.03138474108528,3.099727497687039,-0.6307420829754928,0.14158135482465695,30.362518609746832,13.869514234556528,True,True,False,True,False,False
角膜炎,Keratitis,active_breast_comparator,1,49,2,4539,50,4541,46.316326530612244,4.131104150541486,519.2805664338218,45.410000000000004,6.7623580261591565,1.4936414680957326,-3.016482842009481,0.0326726203441516,18.519787872491886,3.146392928298166,False,False,False,False,False,False
圧迫骨折,Compression fracture,active_breast_comparator,1,49,2,4539,50,4541,46.316326530612244,4.131104150541486,519.2805664338218,45.410000000000004,6.7623580261591565,1.4936414680957326,-3.016482842009481,0.0326726203441516,18.519787872491886,3.146392928298166,False,False,False,False,False,False
脳出血,Cerebral haemorrhage,active_breast_comparator,2,48,7,4534,50,4541,26.988095238095237,5.465050861591868,133.27548142312108,25.948571428571427,20.31363943082816,2.063667615655464,-2.0068110886871064,0.0980178610324548,16.649190579681818,4.723271249639555,False,False,False,False,False,False
多形紅斑,Erythema multiforme,active_breast_comparator,1,49,4,4537,50,4541,23.147959183673468,2.540986144729001,210.87404017551586,22.705000000000002,3.6896120115768403,1.4358218671697027,-3.008447013763254,0.05445436724025267,13.340530756084991,2.2664704325818077,False,False,False,False,False,False
背部痛,Back pain,active_breast_comparator,1,49,4,4537,50,4541,23.147959183673468,2.540986144729001,210.87404017551586,22.705000000000002,3.6896120115768403,1.4358218671697027,-3.008447013763254,0.05445436724025267,13.340530756084991,2.2664704325818077,False,False,False,False,False,False
注入に伴う反応,Infusion related reaction,active_breast_comparator,4,46,17,4524,50,4541,23.14066496163683,7.495636152398673,71.44028391711151,21.369411764705884,47.52295194050928,2.6265115892586066,-0.944117111019303,0.2287083424090612,15.91278598052689,6.598426336386307,True,True,False,True,False,False
骨髄炎,Osteomyelitis,active_breast_comparator,1,49,9,4532,50,4541,10.276643990929704,1.2773169357445433,82.68066347586024,10.091111111111111,1.4229718662403106,1.3006645878042604,-2.99606251836416,0.10890873448050534,7.851288422840217,1.333883440876034,False,False,False,False,False,False
口内炎,Stomatitis,active_breast_comparator,6,44,80,4461,50,4541,7.603977272727272,3.150318352603365,18.35384995817045,6.811499999999999,22.907691424982843,2.177766116919655,-0.42911589870036515,0.9366151165323459,6.258914945691767,3.069888020541518,True,True,False,True,False,False
肺毒性,Pulmonary toxicity,active_breast_comparator,1,49,13,4528,50,4541,7.108320251177394,0.9120041014458595,55.40349732330476,6.986153846153846,0.8032864763118781,1.2009740992683937,-2.9924882066556258,0.15247222827270748,5.906880212304823,1.0035409830965605,False,False,False,False,False,False
顎骨壊死,Osteonecrosis of jaw,active_breast_comparator,1,49,15,4526,50,4541,6.1578231292517005,0.7976887471886807,47.53581622504463,6.054666666666667,0.6177994825379692,1.1535984734903595,-2.992392568222101,0.17425397516880853,5.2560389299629975,0.8929672323439125,False,False,False,False,False,False
急性腎障害,Acute kidney injury,active_breast_comparator,1,49,16,4525,50,4541,5.771683673469388,0.7506043534175663,44.380681080410966,5.6762500000000005,0.5433465288034539,1.1304815706157734,-2.9927136497131657,0.18514484861685906,4.981593969936085,0.8463407975606958,False,False,False,False,False,False
出血性膀胱炎,Haemorrhagic cystitis,active_breast_comparator,1,49,20,4521,50,4541,4.613265306122449,0.6070767757768288,35.05687852650904,4.5409999999999995,0.32684192181882044,1.0415490885374508,-2.9961572480815537,0.2287083424090612,4.1209000109648795,0.7001144258235571,False,False,False,False,False,False
呼吸困難,Dyspnoea,active_breast_comparator,1,49,25,4516,50,4541,3.6865306122448978,0.4897516241986647,27.749796597929894,3.6328,0.1688317746108517,0.9375785230632332,-3.0045194346828463,0.2831627096493139,3.388985785716652,0.5757669031468843,False,False,False,False,False,False
嘔吐,Vomiting,active_breast_comparator,2,48,66,4475,50,4541,2.8251262626262625,0.6725482884233579,11.867309064886825,2.7521212121212124,0.7991524314645486,1.010914027259483,-2.094487504150359,0.7405793944674363,2.6466115344982617,0.750827141417644,False,False,False,False,False,False
悪心,Nausea,active_breast_comparator,2,48,68,4473,50,4541,2.7408088235294117,0.6528649618813894,11.506258484892381,2.6711764705882355,0.732749278300381,0.9858033935052313,-2.1016402388773736,0.7623611413635374,2.573248937867478,0.7300146315357547,False,False,False,False,False,False
アナフィラキシー反応,Anaphylactic reaction,active_breast_comparator,1,49,35,4506,50,4541,2.627405247813411,0.3528748597775472,19.562907770163267,2.594857142857143,0.030274865478059947,0.7497313384177964,-3.030968818630847,0.3920714441298192,2.5006894530133037,0.4248510655199092,False,False,False,False,False,False
うっ血性心不全,Cardiac failure congestive,active_breast_comparator,1,49,38,4503,50,4541,2.4183673469387754,0.32550196005862886,17.967635659356,2.39,0.013596121268037392,0.6978364602554079,-3.040747660363044,0.42474406447397084,2.3183859114949183,0.3938788655256994,False,False,False,False,False,False
間質性肺疾患,Interstitial lung disease,active_breast_comparator,14,36,701,3840,50,4541,2.130290061816453,1.1430378739011373,3.970240926475596,1.813808844507846,5.019296887356293,0.8071355096158451,-0.4242440518685252,7.786974515356132,1.793109432579313,1.1338335722725887,True,False,False,False,False,False
骨髄抑制,Bone marrow suppression,active_breast_comparator,1,49,57,4484,50,4541,1.6054421768707483,0.21791244417123365,11.827890752536163,1.5933333333333335,0.0,0.4065083361329732,-3.1142865268766022,0.631670659986931,1.5860797251705827,0.26946475118142615,False,False,False,False,False,False
貧血,Anaemia,active_breast_comparator,1,49,72,4469,50,4541,1.2667233560090703,0.17254282063934753,9.299651267512452,1.261388888888889,0.0,0.21197279106157474,-3.179887569803063,0.7950337617076889,1.2695033609492015,0.2156804616144813,False,False,False,False,False,False
倦怠感,Malaise,active_breast_comparator,1,49,79,4462,50,4541,1.1526737277189356,0.15719418734542337,8.452327309366952,1.149620253164557,0.0,0.12944996882645643,-3.2114272900357186,0.8712698758440427,1.1613310080138242,0.19730267410111657,False,False,False,False,False,False
発熱,Pyrexia,active_breast_comparator,1,49,79,4462,50,4541,1.1526737277189356,0.15719418734542337,8.452327309366952,1.149620253164557,0.0,0.12944996882645643,-3.2114272900357186,0.8712698758440427,1.1613310080138242,0.19730267410111657,False,False,False,False,False,False
肝機能異常,Hepatic function abnormal,active_breast_comparator,1,49,84,4457,50,4541,1.0828474246841593,0.1477790198931853,7.934540004343255,1.081190476190476,0.0,0.07326753128564557,-3.2341110437927028,0.9257242430842954,1.094703887241898,0.18598315451088218,False,False,False,False,False,False
好中球数減少,Neutrophil count decreased,active_breast_comparator,2,48,217,4324,50,4541,0.8302611367127496,0.2004721899582851,3.438549532875286,0.8370506912442396,0.0,-0.20669387250325988,-2.6499950928980933,2.385101285123067,0.8395322229323114,0.238170041525103,False,False,False,False,False,False
下痢,Diarrhoea,active_breast_comparator,1,49,157,4384,50,4541,0.5698687118159366,0.07818804302600654,4.153452831639974,0.5784713375796179,0.0296536716466793,-0.5660896907644306,-3.5545677732260907,1.7207580047919844,0.5957177874913014,0.1012086232698226,False,False,False,False,False,False
白血球数減少,White blood cell count decreased,active_breast_comparator,1,49,186,4355,50,4541,0.47783629580864606,0.06562377331858561,3.4793416173077976,0.4882795698924731,0.14900539837236257,-0.7579297451627466,-3.670437274004571,2.03659333478545,0.504384577086022,0.08569169784300489,False,False,False,False,False,False
