pt_japanese,pt_english,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
角膜上皮症,Corneal epitheliopathy,active_breast_comparator_class_exclusion,3,47,1,5393,50,5394,344.2340425531915,35.16201988908298,3370.0304028695214,323.64,166.81528229895963,2.7050658107581005,-1.4399940381740906,0.036737692872887584,52.02625504743056,18.511955771274526,True,True,False,True,False
眼圧上昇,Intraocular pressure increased,active_breast_comparator_class_exclusion,1,49,0,5394,50,5394,326.93939393939394,13.15624470160935,8124.610763463738,317.3529411764706,51.91594917910427,1.5587023100879371,-3.0275434929499987,0.009184423218221896,33.51721201363741,5.403690227492471,False,False,False,False,False
感染性虹彩毛様体炎,Infectious iridocyclitis,active_breast_comparator_class_exclusion,1,49,0,5394,50,5394,326.93939393939394,13.15624470160935,8124.610763463738,317.3529411764706,51.91594917910427,1.5587023100879371,-3.0275434929499987,0.009184423218221896,33.51721201363741,5.403690227492471,False,False,False,False,False
咽喉頭炎,Pharyngolaryngitis,active_breast_comparator_class_exclusion,1,49,0,5394,50,5394,326.93939393939394,13.15624470160935,8124.610763463738,317.3529411764706,51.91594917910427,1.5587023100879371,-3.0275434929499987,0.009184423218221896,33.51721201363741,5.403690227492471,False,False,False,False,False
疾患進行,Disease progression,active_breast_comparator_class_exclusion,5,45,6,5388,50,5394,99.77777777777777,29.381908079128767,338.83452740577775,89.9,193.7060917615063,3.1939259371995434,-0.6475950370687715,0.10102865540044086,40.874948480122285,18.578389822108036,True,True,False,True,False
アフタ性潰瘍,Aphthous ulcer,active_breast_comparator_class_exclusion,2,48,3,5391,50,5394,74.875,12.233389768831895,458.27572986218274,71.92,46.51142848335157,2.1951610458527604,-2.029138036194408,0.04592211609110948,29.73333125973918,8.269077611036517,False,False,False,False,False
角膜炎,Keratitis,active_breast_comparator_class_exclusion,1,49,2,5392,50,5394,55.02040816326531,4.907585496708298,616.85024468403,53.940000000000005,8.180486230295612,1.5075738184020997,-3.0186701371931903,0.027553269654665688,20.58819789775452,3.3192570950266123,False,False,False,False,False
圧迫骨折,Compression fracture,active_breast_comparator_class_exclusion,1,49,3,5391,50,5394,36.673469387755105,3.74877667575824,358.7685992691408,35.96,5.900223235512224,1.4826733894216526,-3.0148298374771825,0.036737692872887584,17.259362777332235,2.782577797182843,False,False,False,False,False
炎症,Inflammation,active_breast_comparator_class_exclusion,1,49,3,5391,50,5394,36.673469387755105,3.74877667575824,358.7685992691408,35.96,5.900223235512224,1.4826733894216526,-3.0148298374771825,0.036737692872887584,17.259362777332235,2.782577797182843,False,False,False,False,False
脳出血,Cerebral haemorrhage,active_breast_comparator_class_exclusion,2,48,7,5387,50,5394,32.06547619047619,6.493486026449559,158.34249263552837,30.822857142857146,24.56855137757411,2.1012023906873787,-2.012339032868503,0.08265980896399706,19.099858500348653,5.31182365405039,False,False,False,False,False
注入に伴う反応,Infusion related reaction,active_breast_comparator_class_exclusion,4,46,17,5377,50,5394,27.50383631713555,8.909470359699222,84.90527288597679,25.383529411764705,57.453472073256336,2.6992623922712107,-0.9499691129188461,0.1928728875826598,18.558525945552795,7.64158260368075,True,True,False,True,False
背部痛,Back pain,active_breast_comparator_class_exclusion,1,49,6,5388,50,5394,18.3265306122449,2.1656157855992166,155.08832476884538,17.98,2.984071098633687,1.4104513515039947,-3.00544518060914,0.06429096252755327,11.621999187972744,1.8737144190400188,False,False,False,False,False
骨髄炎,Osteomyelitis,active_breast_comparator_class_exclusion,1,49,9,5385,50,5394,12.210884353741497,1.5177787228689927,98.23941688851768,11.986666666666666,1.834026663304106,1.3416730735185822,-2.9988887063461194,0.09184423218221896,8.760566771452604,1.4123904169276476,False,False,False,False,False
口内炎,Stomatitis,active_breast_comparator_class_exclusion,6,44,88,5306,50,5394,8.222107438016529,3.4151357692356608,19.795128302444297,7.3554545454545455,25.574259007920915,2.253298783947561,-0.41034365633978,0.8633357825128581,6.733455494820057,3.2901687319426935,True,True,False,True,False
顎骨壊死,Osteonecrosis of jaw,active_breast_comparator_class_exclusion,1,49,15,5379,50,5394,7.318367346938776,0.9480576817141956,56.49287132814522,7.192,0.858586617708095,1.2132346583939424,-2.9926795176918586,0.14695077149155034,5.8700546617520635,0.9463781473724636,False,False,False,False,False
多形紅斑,Erythema multiforme,active_breast_comparator_class_exclusion,1,49,16,5378,50,5394,6.85969387755102,0.8921289400584276,52.74506630244412,6.742500000000001,0.7667258681401605,1.192897487103928,-2.992399764707277,0.15613519470977222,5.56408050688158,0.8970485805258486,False,False,False,False,False
肺毒性,Pulmonary toxicity,active_breast_comparator_class_exclusion,1,49,17,5377,50,5394,6.454981992797119,0.8424084387983237,49.46150894068892,6.345882352941176,0.6860908395651633,1.172843021274983,-2.9923086577017193,0.16531961792799413,5.28842362747352,0.8526068058104476,False,False,False,False,False
出血性膀胱炎,Haemorrhagic cystitis,active_breast_comparator_class_exclusion,1,49,20,5374,50,5394,5.483673469387755,0.7216410262014822,41.66985194446442,5.394,0.495508167185916,1.1142998915500544,-2.9930805052474767,0.1928728875826598,4.60412757614858,0.742283671423502,False,False,False,False,False
