pt,a,b,c,d,n_pt_total,ror,ror_ci_lower,ror_ci_upper,ror_signal,prr,chi2,prr_signal,ic,ic025,expected_count,bcpnn_signal,ebgm,eb05,mgps_signal,consensus_signal,strict_signal,signal_category
Stomatitis,64,352,5549,1804170,5613,59.115319713625716,45.23388871717752,77.25670120236876,True,50.17450129614484,3010.1775349078457,True,5.171297121970446,3.02864058309,1.2899634557643491,True,49.19450083631223,39.849613157797044,True,True,True,Clinical AE
Disease progression,86,330,10626,1799093,10712,44.1233332762977,34.77589151077874,55.98328194714463,True,35.208413416293844,2818.2559520225127,True,4.868153557980939,3.19720360154912,2.4618009154013376,True,34.72513446634473,28.973806520392575,True,True,True,Administrative/case-context
Prescribed underdose,9,407,2072,1807647,2081,19.29176548433305,9.951838622418936,37.397332254172184,True,18.896030173373923,134.73587680760176,True,3.279653269874193,0.27711621601652414,0.4782494123366489,True,17.820799187751376,9.856643329816979,True,True,True,Administrative/case-context
Interstitial lung disease,16,400,4750,1804969,4766,15.199738947368422,9.21436456160455,25.07303271142959,True,14.653595141700405,189.9836964603113,True,3.3705588064298864,1.0260638020562634,1.095308360978601,True,14.176382690533183,9.184225448233786,True,True,True,Clinical AE
No adverse event,42,374,19649,1790070,19691,10.230744757662757,7.4344397979058465,14.078819809116908,True,9.298794565783343,305.4981245681953,True,3.0801729508223343,1.7462938433870845,4.525328773820737,True,9.17840710874461,7.0646507816261295,True,True,True,Administrative/case-context
Dry eye,13,403,7622,1802097,7635,7.626890749189528,4.388194170795647,13.255899861314875,True,7.419800413277356,66.09748610480256,True,2.581981666750453,0.5476196577184576,1.7546536584287913,True,7.1475490928221435,4.400335241673085,True,True,True,Clinical AE
Infusion related reaction,14,402,8548,1801171,8562,7.338248509441562,4.305103780332898,12.508383986542894,True,7.12494206921997,67.92562427884071,True,2.554817415731267,0.6076093531270461,1.9676941222615993,True,6.882031120636986,4.3177531420826645,True,True,True,Clinical AE
Off label use,66,350,124227,1685492,124293,2.558506880836809,1.9666584794929765,3.3284668017076915,True,2.311243769934815,51.291939337897624,True,1.1940883862511276,0.5653270448135501,28.5646584370779,True,2.294723444950888,1.864970534366241,False,True,False,Administrative/case-context
Seizure anoxic,1,415,3,1809716,4,1453.5871485943776,150.88711935094886,14003.286746062757,False,1450.0953525641028,271.01918147521275,False,1.5823124879735797,-3.032094486894146,0.0009192684523530013,False,216.50339258299405,21.662026229206237,True,False,False,Clinical AE
Troponin,1,415,3,1809716,4,1453.5871485943776,150.88711935094886,14003.286746062757,False,1450.0953525641028,271.01918147521275,False,1.5823124879735797,-3.032094486894146,0.0009192684523530013,False,216.50339258299405,21.662026229206237,True,False,False,Clinical AE
Infectious iridocyclitis,1,415,4,1809715,5,1090.1897590361446,121.58928206026413,9774.822998940119,False,1087.571514423077,216.6158321995261,False,1.5816507446626618,-3.0319629979880904,0.0011490855654412515,False,200.16140223682868,20.026945045060945,True,False,False,Clinical AE
Procedural shock,1,415,4,1809715,5,1090.1897590361446,121.58928206026413,9774.822998940119,False,1087.571514423077,216.6158321995261,False,1.5816507446626618,-3.0319629979880904,0.0011490855654412515,False,200.16140223682868,20.026945045060945,True,False,False,Clinical AE
Allergic respiratory disease,1,415,14,1809705,15,311.48106712564544,40.864642292640944,2374.1907364059484,False,310.7347184065934,71.54191581646745,False,1.5750499524080452,-3.030663857038111,0.003447256696323755,False,114.06413636543529,11.412570880674023,True,False,False,Clinical AE
Breast haemorrhage,1,415,15,1809704,16,290.7155020080321,38.31265054415166,2205.942473501959,False,290.0190705128205,67.00851358855198,False,1.5743915311881902,-3.0305355086498946,0.003677073809412005,False,109.36012852183816,10.941916171411991,True,False,False,Clinical AE
Corneal epitheliopathy,1,415,19,1809700,20,229.51173113506658,30.653158572770398,1718.4406821751668,False,228.96242408906886,53.408536228967854,False,1.5717608471221658,-3.030024941292208,0.004596342261765006,False,93.87457003426124,9.392524403783186,True,False,False,Clinical AE
Laryngopharyngitis,1,415,22,1809697,23,198.2143483023001,26.655348618601536,1473.9603835264654,False,197.74027534965037,46.31310525130191,False,1.5697909772783443,-3.0296449718659297,0.005285793601029758,False,84.86211753719272,8.490792656987885,True,False,False,Clinical AE
Urinary bladder rupture,1,415,26,1809693,27,167.71946246524558,22.70623458982614,1238.858780320843,False,167.31869452662724,39.30551000708656,False,1.5671686611295048,-3.029142266607723,0.006205062053382759,False,75.23190595537307,7.527251654746005,True,False,False,Clinical AE
Neurosis,1,415,33,1809686,34,132.14209565534867,18.030717910519147,968.4325122739698,False,131.82685023310023,31.01027323363817,False,1.5625910459763372,-3.0282732419111063,0.007813781845000511,False,62.766943038402154,6.280082497569879,True,False,False,Clinical AE
Corneal erosion,1,415,34,1809685,35,128.25549255846917,17.515444222999523,939.14097535795,False,127.9495899321267,30.096156701349386,False,1.561938285025271,-3.0281502018089665,0.008043598958088762,False,61.31562678705228,6.1348725295941415,True,False,False,Clinical AE
