pt,sex_group,a,n_drug_group,n_pt_group,n_total_group,ror,ror_ci_lower,ror_ci_upper,continuity_corrected,concentrated_in
Stomatitis,M,8,72,1250,584897,58.73419887278583,28.104130721408453,122.74729830373747,False,F
Stomatitis,F,54,319,3611,882771,50.350178494703506,37.506589419215175,67.59186888770309,False,F
Stomatitis,Unknown,2,25,752,341431,39.496347826086954,9.29523382246575,167.82380318706512,False,F
Disease progression,M,3,72,3966,584897,6.37266453828347,2.005013233311343,20.254656000661672,False,F
Disease progression,F,79,319,4479,882771,65.68760227272728,50.85391559398596,84.8481585329544,False,F
Disease progression,Unknown,4,25,2267,341431,28.5455884519075,9.790729253429731,83.22675451169575,False,F
Prescribed underdose,M,0,72,349,584897,11.533254402841498,0.7130939132414272,186.53357524260423,True,F
Prescribed underdose,F,9,319,1410,882771,18.257601713062098,9.39110934152054,35.49527624377931,False,F
Prescribed underdose,Unknown,0,25,322,341431,20.737771697826417,1.2597658157562162,341.3770794637855,True,F
Interstitial lung disease,M,4,72,1966,584897,17.47505546561132,6.36866039789764,47.95004670479846,False,
Interstitial lung disease,F,12,319,2077,882771,16.664659163505295,9.345740352036112,29.715234382185407,False,
Interstitial lung disease,Unknown,0,25,723,341431,9.232990500968874,0.5615417545107154,151.8108188860509,True,
No adverse event,M,5,72,3197,584897,13.598197920173568,5.477313634957072,33.75943007829273,False,
No adverse event,F,27,319,6977,882771,11.648050655366118,7.847359398443007,17.28952086696765,False,
No adverse event,Unknown,10,25,9517,341431,23.27400862522352,10.453228628272832,51.81934661047202,False,
Dry eye,M,4,72,2071,584897,16.58436495062466,6.0443523342251915,45.50382664791568,False,
Dry eye,F,9,319,5034,882771,5.06939046701974,2.611412921431985,9.840925384185718,False,
Dry eye,Unknown,0,25,530,341431,12.599157287797306,0.7660045600390692,207.22952922703172,True,
Infusion related reaction,M,1,72,1489,584897,5.521514841738604,0.7666247231500171,39.76799237868279,False,F
Infusion related reaction,F,13,319,4819,882771,7.758138655656464,4.450362766158822,13.524451502712196,False,F
Infusion related reaction,Unknown,0,25,2246,341431,2.9602518951048036,0.18015550736661512,48.64181734194091,True,F
Off label use,M,9,72,38666,584897,2.018366660630675,1.0037768299287753,4.0584758038641775,False,
Off label use,F,46,319,56980,882771,2.44314945484721,1.7874442758014457,3.3393931992894585,False,
Off label use,Unknown,11,25,28644,341431,8.582761648647166,3.8960238562421794,18.907429788825606,False,
