pt,n_fatal_cases
Disease progression,50
Death,25
Off label use,12
Stomatitis,11
Prescribed underdose,7
Nausea,7
Interstitial lung disease,5
Pneumonitis,4
Underdose,3
Lung neoplasm malignant,3
Metastases to liver,2
Respiratory failure,2
Fatigue,2
Platelet count decreased,2
Pyrexia,2
Neoplasm progression,2
Pulmonary embolism,2
Melaena,1
Anuria,1
Cardiac failure,1
Vomiting,1
Acute kidney injury,1
Constipation,1
Anaemia,1
Disseminated intravascular coagulation,1
Herpes zoster,1
Pruritus,1
Procedural shock,1
Adverse event,1
Conjunctivitis,1
Keratitis,1
Bacteraemia,1
Neutrophil count decreased,1
Oncologic complication,1
Pneumonia aspiration,1
Oral candidiasis,1
Weight decreased,1
Osteonecrosis of jaw,1
Metastases to central nervous system,1
Lung opacity,1
Tumour marker increased,1
Pulmonary toxicity,1
Oedema peripheral,1
Fungal pharyngitis,1
Haemorrhage,1
Hepatic failure,1
Sepsis,1
Circulatory collapse,1
Jaundice cholestatic,1
Atypical pneumonia,1
Lacrimation increased,1
Abdominal distension,1
Asthenia,1
Metastasis,1
Septic shock,1
Peritonitis bacterial,1
Acute myocardial infarction,1
Completed suicide,1
Acute respiratory failure,1
Ascites,1
Infusion related reaction,1
Cardiac failure congestive,1
Lung carcinoma cell type unspecified stage IV,1
Hepatic function abnormal,1
Vision blurred,1
Decreased appetite,1
Ulcerative keratitis,1
Malignant pleural effusion,1
Product distribution issue,1
Post procedural complication,1
Psychiatric symptom,1
Rash,1
Dry eye,1
Renal failure,1
Duodenal perforation,1
