pt,n_serious_cases
Disease progression,79
Stomatitis,30
Death,25
Off label use,25
Interstitial lung disease,16
Nausea,13
Prescribed underdose,8
Malaise,8
Pyrexia,7
Pneumonitis,5
Metastases to liver,4
Dehydration,4
Underdose,4
Lung neoplasm malignant,4
Infusion related reaction,4
Dyspnoea,4
Mucosal inflammation,3
Pulmonary embolism,3
Osteonecrosis of jaw,3
Metastases to central nervous system,3
Lacrimation increased,3
Asthenia,3
Keratitis,3
Pneumonia,3
Hepatic function abnormal,3
Pulmonary toxicity,3
Decreased appetite,3
Seizure,3
Oral candidiasis,3
Anaemia,3
Sepsis,3
Hypotension,3
Lung opacity,3
Dry eye,3
Ascites,2
Hyponatraemia,2
Oedema peripheral,2
Platelet count decreased,2
Catheter site infection,2
Renal failure,2
Fatigue,2
Respiratory failure,2
Dry skin,2
Rash,2
Pain in extremity,2
Neutrophil count decreased,2
Pneumonia aspiration,2
Weight decreased,2
Chills,2
Metastases to lung,2
Nervousness,2
Malignant pleural effusion,2
Dysarthria,2
Constipation,2
Urinary tract infection,2
Abdominal pain,2
Cataract,2
Cerebral haemorrhage,2
Neoplasm progression,2
Circulatory collapse,2
Tumour marker increased,2
Ocular toxicity,2
Carcinoembryonic antigen increased,2
Inappropriate antidiuretic hormone secretion,1
Tongue discolouration,1
Conjunctivitis,1
Rash maculo-papular,1
Anal ulcer,1
Myelosuppression,1
Infusion site rash,1
Nail bed disorder,1
Cough,1
Vein disorder,1
Polyneuropathy,1
Thrombocytopenia,1
Thrombosis,1
Inflammation,1
Respiratory syncytial virus test positive,1
Disability,1
Vomiting,1
Glossodynia,1
Somnolence,1
Leukoencephalopathy,1
Duodenal perforation,1
Pruritus,1
Acute kidney injury,1
Melaena,1
Breast cancer metastatic,1
Procedural shock,1
Anuria,1
Cardiac failure,1
Disseminated intravascular coagulation,1
Herpes zoster,1
Cardiac arrest,1
Infusion site pain,1
Musculoskeletal chest pain,1
Amnesia,1
Lung disorder,1
Posterior reversible encephalopathy syndrome,1
Corneal erosion,1
Back pain,1
Compression fracture,1
Breast pain,1
Laryngopharyngitis,1
Intestinal perforation,1
Abnormal sensation in eye,1
Discouragement,1
Dizziness,1
Oral discomfort,1
Coronavirus test positive,1
Rhinorrhoea,1
Pneumocystis jirovecii pneumonia,1
Deafness,1
No adverse event,1
Metastases to pleura,1
Therapy change,1
Cytopenia,1
Meningitis,1
Oncologic complication,1
Adverse event,1
Osteomyelitis,1
Clostridium difficile colitis,1
Blister,1
Bacteraemia,1
Urinary bladder rupture,1
Cystitis haemorrhagic,1
Surgery,1
Infusion related hypersensitivity reaction,1
Leukocytosis,1
Post procedural complication,1
Myalgia,1
Cerebrovascular accident,1
Abdominal pain upper,1
Product availability issue,1
Hypertransaminasaemia,1
Anaphylactic reaction,1
Hypersensitivity,1
Vascular pain,1
Febrile neutropenia,1
Abdominal distension,1
Atypical pneumonia,1
Metastasis,1
Candida infection,1
Septic shock,1
Peritonitis bacterial,1
Acute myocardial infarction,1
Completed suicide,1
White blood cell count decreased,1
Product dose omission issue,1
Jaundice cholestatic,1
Renal impairment,1
Hyperglycaemia,1
Seizure anoxic,1
Blood sodium abnormal,1
Encephalopathy,1
Multiple organ dysfunction syndrome,1
Dyspepsia,1
Dysphagia,1
Troponin,1
Hypoxia,1
Product distribution issue,1
Hypokalaemia,1
Infusion site extravasation,1
Troponin I increased,1
Sinus tachycardia,1
Eye pain,1
Troponin increased,1
Lactic acidosis,1
Pleural effusion,1
Acute respiratory failure,1
Hypoaesthesia,1
Infectious iridocyclitis,1
Pneumonia bacterial,1
Nasopharyngitis,1
Psychiatric symptom,1
Hepatic failure,1
Fungal pharyngitis,1
Malignant ascites,1
Corneal epitheliopathy,1
Intraocular pressure increased,1
Oropharyngeal discomfort,1
Alopecia,1
Faeces soft,1
Fall,1
Breast haemorrhage,1
Product use issue,1
Pelvic fracture,1
Chest discomfort,1
Eastern Cooperative Oncology Group performance status worsened,1
Coronavirus infection,1
Cardiac failure congestive,1
Ocular hyperaemia,1
Lung carcinoma cell type unspecified stage IV,1
Amylase increased,1
Therapy cessation,1
Adverse drug reaction,1
Pancytopenia,1
Diarrhoea,1
Aphthous ulcer,1
Vision blurred,1
Mental disorder,1
Erythema multiforme,1
Sialoadenitis,1
Wound infection,1
Angular cheilitis,1
Migraine,1
Ulcerative keratitis,1
Haemorrhage,1
Akathisia,1
